id,title,duration,genre,rating,poster_url
1,Inception,2h 28min,Sci-Fi,PG-13,inception.jpg
2,The Dark Knight,2h 32min,Action,PG-13,dark_knight.jpg
3,Interstellar,2h 49min,Sci-Fi,PG-13,interstellar.jpg
4,Oppenheimer,3h,Drama,R,oppenheimer.jpg
5,Barbie,1h 54min,Comedy,PG-13,barbie.jpg
